timestamp,temp_gpu,vram_used_mb,vram_total_mb,power_w,gpu_util_pct,sm_clock_mhz,time_sec
1784754143.232934,34,1411.06,16376.0,19.72,17,210,200.43241596221924
1784754143.483095,34,1411.06,16376.0,19.72,17,210,200.68257689476013
1784754143.7332563,34,1411.06,16376.0,19.75,12,210,200.93273830413818
1784754143.9834414,34,1411.06,16376.0,19.75,12,210,201.18292331695557
1784754144.2335997,34,1411.06,16376.0,19.93,13,210,201.4330816268921
1784754144.48376,34,1411.06,16376.0,19.93,13,210,201.68324208259583
1784754144.7339222,34,1411.06,16376.0,19.94,7,210,201.93340420722961
1784754144.984087,34,1411.06,16376.0,19.94,7,210,202.18356895446777
1784754145.2342417,34,1411.06,16376.0,19.85,16,210,202.4337236881256
1784754145.4844024,34,1411.06,16376.0,19.85,16,210,202.68388438224792
1784754145.7345674,34,1411.06,16376.0,19.84,10,210,202.93404936790466
1784754145.984723,34,1411.06,16376.0,19.84,10,210,203.18420505523682
1784754146.2348762,34,1411.06,16376.0,19.93,13,210,203.4343581199646
1784754146.485048,34,1411.06,16376.0,19.93,13,210,203.68453001976013
1784754146.7352154,34,1411.06,16376.0,19.89,11,210,203.93469738960266
1784754146.9853747,34,1411.06,16376.0,19.89,11,210,204.1848566532135
1784754147.235542,34,1411.06,16376.0,19.89,16,210,204.43502402305603
1784754147.4857204,34,1411.06,16376.0,19.89,16,210,204.6852023601532
1784754147.7359009,34,1411.06,16376.0,19.9,15,210,204.93538284301758
1784754147.9860613,34,1411.06,16376.0,19.9,15,210,205.1855432987213
1784754148.2362428,34,1411.06,16376.0,19.93,13,210,205.43572473526
1784754148.4864478,34,1411.06,16376.0,19.93,13,210,205.68592977523804
1784754148.7366095,34,1411.06,16376.0,19.84,8,210,205.93609142303467
1784754148.9867933,34,1411.06,16376.0,19.84,8,210,206.18627524375916
1784754149.2369778,34,1411.06,16376.0,19.82,9,210,206.43645977973938
1784754149.48716,34,1411.06,16376.0,19.82,9,210,206.6866419315338
1784754149.7373118,34,1411.06,16376.0,19.83,15,210,206.9367938041687
1784754149.9874697,34,1411.06,16376.0,19.83,15,210,207.18695163726807
1784754150.2376242,34,1411.06,16376.0,19.72,7,210,207.43710613250732
1784754150.4877758,34,1411.06,16376.0,19.72,7,210,207.68725776672363
1784754150.7379234,34,1411.06,16376.0,19.58,14,210,207.9374053478241
1784754150.9880993,34,1411.06,16376.0,19.58,14,210,208.18758130073547
1784754151.2382941,34,1411.06,16376.0,19.55,9,210,208.4377760887146
1784754151.4884722,34,1411.06,16376.0,19.55,9,210,208.6879541873932
1784754151.738656,34,1411.06,16376.0,19.67,17,210,208.93813800811768
1784754151.9888446,34,1411.06,16376.0,19.67,17,210,209.18832659721375
1784754152.2390277,34,1411.06,16376.0,19.66,8,210,209.4385097026825
1784754152.4891927,34,1411.06,16376.0,19.66,8,210,209.68867468833923
1784754152.7393746,34,1411.06,16376.0,19.75,13,210,209.9388566017151
1784754152.9895446,34,1411.06,16376.0,19.75,13,210,210.189026594162
1784754153.2397041,34,1411.06,16376.0,19.9,10,210,210.4391860961914
1784754153.4898598,34,1411.06,16376.0,19.9,10,210,210.68934178352356
1784754153.740012,34,1411.06,16376.0,19.92,17,210,210.93949389457703
1784754153.9901836,34,1411.06,16376.0,19.92,17,210,211.18966555595398
1784754154.240313,34,1411.06,16376.0,19.85,10,210,211.43979501724243
1784754154.4904928,34,1411.06,16376.0,19.85,10,210,211.68997478485107
1784754154.7406473,34,1411.06,16376.0,19.93,14,210,211.94012928009033
1784754154.9908137,34,1411.06,16376.0,19.93,14,210,212.19029569625854
1784754155.2409725,34,1411.06,16376.0,19.98,11,210,212.44045448303223
1784754155.4911525,34,1411.06,16376.0,19.98,11,210,212.69063448905945
1784754155.7413156,34,1411.06,16376.0,20.05,13,210,212.94079756736755
1784754155.9914649,34,1411.06,16376.0,20.05,13,210,213.19094681739807
1784754156.2415907,34,1411.06,16376.0,19.99,8,210,213.44107270240784
1784754156.4917486,34,1411.06,16376.0,19.99,8,210,213.6912305355072
1784754156.7419033,34,1411.06,16376.0,20.01,16,210,213.94138526916504
1784754156.9920578,34,1411.06,16376.0,20.01,16,210,214.1915397644043
1784754157.2422113,34,1411.06,16376.0,20.01,19,210,214.44169330596924
1784754157.4923804,34,1411.06,16376.0,20.01,19,210,214.69186234474182
1784754157.7425425,34,1411.06,16376.0,20.06,7,210,214.9420244693756
1784754157.9926932,34,1411.06,16376.0,20.06,7,210,215.1921751499176
1784754158.242803,34,1411.06,16376.0,20.05,17,210,215.44228506088257
1784754158.4929595,34,1411.06,16376.0,20.05,17,210,215.69244146347046
1784754158.7431128,34,1411.06,16376.0,20.05,7,210,215.94259476661682
1784754158.9932816,34,1411.06,16376.0,20.05,7,210,216.19276356697083
1784754159.2434487,34,1411.06,16376.0,19.93,13,210,216.44293069839478
1784754159.4936254,34,1411.06,16376.0,19.93,13,210,216.6931073665619
1784754159.743793,34,1411.06,16376.0,19.8,7,210,216.943274974823
1784754159.9939463,34,1411.06,16376.0,19.8,7,210,217.19342827796936
1784754160.2441041,34,1411.06,16376.0,19.73,13,210,217.44358611106873
1784754160.4942865,34,1411.06,16376.0,19.73,13,210,217.69376850128174
1784754160.7444482,34,1411.06,16376.0,19.61,9,210,217.94393014907837
1784754160.9946322,34,1411.06,16376.0,19.61,9,210,218.19411420822144
1784754161.2447903,34,1411.06,16376.0,19.74,15,210,218.44427227973938
1784754161.4949489,34,1411.06,16376.0,19.74,15,210,218.69443082809448
1784754161.7451043,34,1411.06,16376.0,19.87,8,210,218.94458627700806
1784754161.9952579,34,1411.06,16376.0,19.87,8,210,219.194739818573
1784754162.245408,34,1411.06,16376.0,19.84,13,210,219.44489002227783
1784754162.495567,34,1411.06,16376.0,19.84,13,210,219.6950490474701
1784754162.7457192,34,1411.06,16376.0,19.74,10,210,219.94520115852356
1784754162.9958756,34,1411.06,16376.0,19.74,10,210,220.19535756111145
1784754163.2460248,34,1411.06,16376.0,19.73,14,210,220.44550681114197
1784754163.4961843,34,1411.06,16376.0,19.73,14,210,220.6956663131714
1784754163.746332,34,1411.06,16376.0,19.75,7,210,220.94581389427185
1784754163.9965043,34,1411.06,16376.0,19.75,7,210,221.19598627090454
1784754164.2466824,34,1411.06,16376.0,19.83,17,210,221.44616436958313
1784754164.4968693,34,1411.06,16376.0,19.83,17,210,221.69635128974915
1784754164.747033,34,1411.06,16376.0,19.85,7,210,221.946515083313
1784754164.997198,34,1411.06,16376.0,19.85,7,210,222.19668006896973
1784754165.247308,34,1411.06,16376.0,19.88,19,210,222.4467899799347
1784754165.497473,34,1411.06,16376.0,19.88,19,210,222.69695496559143
1784754165.7476377,34,1411.06,16376.0,19.94,8,210,222.9471197128296
1784754165.997808,34,1411.06,16376.0,19.94,8,210,223.19728994369507
1784754166.2479765,34,1411.06,16376.0,19.97,17,210,223.4474585056305
1784754166.498131,34,1411.06,16376.0,19.97,17,210,223.69761300086975
1784754166.7482903,34,1411.06,16376.0,19.86,9,210,223.9477722644806
1784754166.9984665,34,1411.06,16376.0,19.86,9,210,224.19794845581055
